rank,state,state_name,type_1_npis,type_2_npis,total_npis,allocation_pct,type_1_pct,type_2_pct
1,CA,California,990637,197549,1188186,12.68,83.37,16.63
2,NY,New York,553773,104805,658578,7.03,84.09,15.91
3,FL,Florida,480260,174057,654317,6.98,73.4,26.6
4,TX,Texas,441789,167009,608798,6.5,72.57,27.43
5,OH,Ohio,341771,66293,408064,4.35,83.75,16.25
6,MI,Michigan,292168,65873,358041,3.82,81.6,18.4
7,PA,Pennsylvania,265654,70794,336448,3.59,78.96,21.04
8,IL,Illinois,244871,74196,319067,3.4,76.75,23.25
9,NC,North Carolina,204222,73423,277645,2.96,73.56,26.44
10,MA,Massachusetts,222627,36488,259115,2.77,85.92,14.08
11,WA,Washington,206955,36740,243695,2.6,84.92,15.08
12,NJ,New Jersey,168089,66443,234532,2.5,71.67,28.33
13,GA,Georgia,171587,59464,231051,2.47,74.26,25.74
14,MD,Maryland,162598,53937,216535,2.31,75.09,24.91
15,VA,Virginia,152299,49073,201372,2.15,75.63,24.37
16,CO,Colorado,151992,45628,197620,2.11,76.91,23.09
17,AZ,Arizona,129804,46935,176739,1.89,73.44,26.56
18,MN,Minnesota,136477,32449,168926,1.8,80.79,19.21
19,TN,Tennessee,128030,32675,160705,1.71,79.67,20.33
20,IN,Indiana,122892,33269,156161,1.67,78.7,21.3
21,OR,Oregon,127707,22769,150476,1.61,84.87,15.13
22,MO,Missouri,114553,34353,148906,1.59,76.93,23.07
23,WI,Wisconsin,118686,26299,144985,1.55,81.86,18.14
24,LA,Louisiana,93482,32479,125961,1.34,74.22,25.78
25,NV,Nevada,102284,21190,123474,1.32,82.84,17.16
26,OK,Oklahoma,93888,23582,117470,1.25,79.93,20.07
27,SC,South Carolina,88228,28531,116759,1.25,75.56,24.44
28,KY,Kentucky,88853,24710,113563,1.21,78.24,21.76
29,CT,Connecticut,85396,20367,105763,1.13,80.74,19.26
30,UT,Utah,79546,16360,95906,1.02,82.94,17.06
31,AL,Alabama,69412,25627,95039,1.01,73.04,26.96
32,NE,Nebraska,80838,12044,92882,0.99,87.03,12.97
33,WV,West Virginia,81592,10005,91597,0.98,89.08,10.92
34,AR,Arkansas,68925,17669,86594,0.92,79.6,20.4
35,KS,Kansas,56189,16628,72817,0.78,77.16,22.84
36,NM,New Mexico,57472,12310,69782,0.74,82.36,17.64
37,IA,Iowa,49602,16527,66129,0.71,75.01,24.99
38,MS,Mississippi,41425,16680,58105,0.62,71.29,28.71
39,DC,District of Columbia,47455,5418,52873,0.56,89.75,10.25
40,ID,Idaho,34220,12115,46335,0.49,73.85,26.15
41,ME,Maine,34286,9058,43344,0.46,79.1,20.9
42,HI,Hawaii,32759,8224,40983,0.44,79.93,20.07
43,NH,New Hampshire,33555,7241,40796,0.44,82.25,17.75
44,AK,Alaska,29443,6623,36066,0.38,81.64,18.36
45,RI,Rhode Island,26112,6137,32249,0.34,80.97,19.03
46,MT,Montana,22447,7605,30052,0.32,74.69,25.31
47,DE,Delaware,21634,6341,27975,0.3,77.33,22.67
48,ND,North Dakota,22851,4818,27669,0.3,82.59,17.41
49,SD,South Dakota,17646,5571,23217,0.25,76.0,24.0
50,VT,Vermont,15565,3633,19198,0.2,81.08,18.92
51,WY,Wyoming,13938,4550,18488,0.2,75.39,24.61
